Entity	Code	Year	CO2emissions
Afghanistan	AFG	2017	0.036
Africa		2017	3.6836
Albania	ALB	2017	0.0176
Algeria	DZA	2017	0.4164
Americas (other)		2017	6.6346
Andorra	AND	2017	0.0014
Angola	AGO	2017	0.0979
Anguilla	AIA	2017	0.0004
Antigua and Barbuda	ATG	2017	0.0016
Argentina	ARG	2017	0.5652
Armenia	ARM	2017	0.0156
Aruba	ABW	2017	0.0026
Asia and Pacific (other)		2017	14.0268
Australia	AUS	2017	1.1426
Austria	AUT	2017	0.1935
Azerbaijan	AZE	2017	0.1057
Bahamas	BHS	2017	0.0071
Bahrain	BHR	2017	0.0953
Bangladesh	BGD	2017	0.2436
Barbados	BRB	2017	0.0037
Belarus	BLR	2017	0.1698
Belgium	BEL	2017	0.2769
Belize	BLZ	2017	0.0016
Benin	BEN	2017	0.0208
Bermuda	BMU	2017	0.0017
Bhutan	BTN	2017	0.0032
Bolivia	BOL	2017	0.0578
Bonaire Sint Eustatius and Saba	BES	2017	0.0009
Bosnia and Herzegovina	BIH	2017	0.0737
Botswana	BWA	2017	0.0218
Brazil	BRA	2017	1.3168
British Virgin Islands	VGB	2017	0.0005
Brunei	BRN	2017	0.0283
Bulgaria	BGR	2017	0.1357
Burkina Faso	BFA	2017	0.0092
Burundi	BDI	2017	0.0015
Cambodia	KHM	2017	0.022
Cameroon	CMR	2017	0.0213
Canada	CAN	2017	1.5843
Cape Verde	CPV	2017	0.0017
Central African Republic	CAF	2017	0.0009
Chad	TCD	2017	0.002
Chile	CHL	2017	0.234
China	CHN	2017	27.214
Colombia	COL	2017	0.2247
Comoros	COM	2017	0.0005
Congo	COG	2017	0.0094
Cook Islands	COK	2017	0.0002
Costa Rica	CRI	2017	0.0241
Cote d'Ivoire	CIV	2017	0.0324
Croatia	HRV	2017	0.0475
Cuba	CUB	2017	0.101
Curacao	CUW	2017	0.0173
Cyprus	CYP	2017	0.0208
Czech Republic	CZE	2017	0.2984
Democratic Republic of Congo	COD	2017	0.0133
Denmark	DNK	2017	0.0956
Djibouti	DJI	2017	0.0023
Dominica	DMA	2017	0.0004
Dominican Republic	DOM	2017	0.0588
EU-28		2017	9.8018
Ecuador	ECU	2017	0.1073
Egypt	EGY	2017	0.6048
El Salvador	SLV	2017	0.0193
Equatorial Guinea	GNQ	2017	0.0186
Eritrea	ERI	2017	0.0022
Estonia	EST	2017	0.0548
Ethiopia	ETH	2017	0.0371
Europe (other)		2017	5.9443
Faeroe Islands	FRO	2017	0.0019
Fiji	FJI	2017	0.0037
Finland	FIN	2017	0.1271
France	FRA	2017	0.9855
French Polynesia	PYF	2017	0.0026
Gabon	GAB	2017	0.0153
Gambia	GMB	2017	0.0017
Georgia	GEO	2017	0.0303
Germany	DEU	2017	2.2111
Ghana	GHA	2017	0.0464
Greece	GRC	2017	0.2102
Greenland	GRL	2017	0.0016
Grenada	GRD	2017	0.0008
Guatemala	GTM	2017	0.0577
Guinea	GIN	2017	0.008
Guinea-Bissau	GNB	2017	0.0009
Guyana	GUY	2017	0.0057
Haiti	HTI	2017	0.0083
Honduras	HND	2017	0.0295
Hong Kong	HKG	2017	0.119
Hungary	HUN	2017	0.1393
Iceland	ISL	2017	0.0096
India	IND	2017	6.8231
