Entity	Code	Year	p	s	pop
Afghanistan	AFG	2013			34499915
Albania	ALB	2013	9319.467609		3238316
Algeria	DZA	2013	14433.27609		36983924
American Samoa	ASM	2013			71834
Andorra	AND	2013			88909
Angola	AGO	2013	6211.804703		20714494
Anguilla	AIA	2013			16158
Antigua and Barbuda	ATG	2013			91404
Arab World		2013	20898.45821
Argentina	ARG	2013	22695.24085	0.8	41473982
Armenia	ARM	2013	11657.54053	2.2	3117722
Aruba	ABW	2013			108883
Australia	AUS	2013	63548.55996		23213944
Austria	AUT	2013	45578.48659	0.2	8441263
Azerbaijan	AZE	2013	17142.65992		9533445
Bahamas	BHS	2013			355233
Bahrain	BHR	2013	121147.2664		1377273
Bangladesh	BGD	2013	2503.740814		154393847
Barbados	BRB	2013			275141
Belarus	BLR	2013	33511.93057	0	9498290
Belgium	BEL	2013	57998.82937	0.2	10815599
Belize	BLZ	2013			330721
Benin	BEN	2013	4724.73142		9606534
Bermuda	BMU	2013			65335
Bhutan	BTN	2013			762313
Bolivia	BOL	2013	8725.799929	6.9	10409761
Bosnia and Herzegovina	BIH	2013	20821.10606		3735880
Botswana	BWA	2013	13560.91788		2074616
Brazil	BRA	2013	16877.08156	3.8	200050487
British Virgin Islands	VGB	2013			23928
Brunei	BRN	2013	87204.59026		419772
Bulgaria	BGR	2013	27087.69818	1.7	7349462
Burkina Faso	BFA	2013			18011507
Burundi	BDI	2013		71.7	8911183
Cambodia	KHM	2013	4617.223241		14656016
Cameroon	CMR	2013	3907.72176		20913595
Canada	CAN	2013	89881.68825	0.5	34993747
Cape Verde	CPV	2013			510213
Cayman Islands	CYM	2013			57708
Central African Republic	CAF	2013			4666833
Central Europe and the Baltics		2013	29211.18217
Chad	TCD	2013			12141876
Chile	CHL	2013	25769.75898	0.9	17574464
China	CHN	2013	25746.02097	1.9	1359368470
Colombia	COL	2013	8267.27589	5.7	48165221
Comoros	COM	2013		18.1	792913
Congo	COG	2013	6425.424142		4324199
Cook Islands	COK	2013			20635
Costa Rica	CRI	2013	11967.392	1.6	4859957
Cote d'Ivoire	CIV	2013	7163.248666		21057316
Croatia	HRV	2013	23072.38422	0.7	4378806
Cuba	CUB	2013	11752.88568		11244424
Curacao	CUW	2013	136390.938
Cyprus	CYP	2013	19628.94453	0	1141453
Czech Republic	CZE	2013	46403.60014	0	10589806
Democratic Republic of Congo	COD	2013	4482.20459		71419669
Denmark	DNK	2013	36347.67815	0.2	5611187
Djibouti	DJI	2013		22.5	940090
Dominica	DMA	2013			67702
Dominican Republic	DOM	2013	8634.950035	2.4	10308609
Early-demographic dividend		2013	10264.01459
East Asia & Pacific		2013	23981.55572	3.6
East Asia & Pacific (IDA & IBRD)		2013	21162.64457
East Asia & Pacific (excluding high income)		2013	20960.48971
Ecuador	ECU	2013	9844.251032	3.2	15061398
Egypt	EGY	2013	9715.394371		85378440
El Salvador	SLV	2013	7421.462455	3.2	6302723
Equatorial Guinea	GNQ	2013			761050
Eritrea	ERI	2013			5748304
Estonia	EST	2013	53768.73607	1	1338832
Ethiopia	ETH	2013	5753.69192		88356373
Euro area		2013	39597.85179
Europe & Central Asia		2013	37425.11136	1.6
Europe & Central Asia (IDA & IBRD)		2013	35155.30937
Europe & Central Asia (excluding high income)		2013	35780.29634
European Union		2013	37334.85176
Faeroe Islands	FRO	2013			49326
Fiji	FJI	2013		1.4	882863
Finland	FIN	2013	71131.72343	0	5418763
