date	USA	China	India	Russia	EU-28	United Kingdom
1751	0	0	0	0	100	100
1752	0	0	0	0	100	100
1753	0	0	0	0	100	100
1754	0	0	0	0	100	100
1755	0	0	0	0	100	100
1756	0	0	0	0	100	100
1757	0	0	0	0	100	100
1758	0	0	0	0	100	100
1759	0	0	0	0	100	100
1760	0	0	0	0	100	100
1761	0	0	0	0	100	100
1762	0	0	0	0	100	100
1763	0	0	0	0	100	100
1764	0	0	0	0	100	100
1765	0	0	0	0	100	100
1766	0	0	0	0	100	100
1767	0	0	0	0	100	100
1768	0	0	0	0	100	100
1769	0	0	0	0	100	100
1770	0	0	0	0	100	100
1771	0	0	0	0	100	100
1772	0	0	0	0	100	100
1773	0	0	0	0	100	100
1774	0	0	0	0	100	100
1775	0	0	0	0	100	100
1776	0	0	0	0	100	100
1777	0	0	0	0	100	100
1778	0	0	0	0	100	100
1779	0	0	0	0	100	100
1780	0	0	0	0	100	100
1781	0	0	0	0	100	100
1782	0	0	0	0	100	100
1783	0	0	0	0	100	100
1784	0	0	0	0	100	100
1785	0	0	0	0	99.9783	99.9783
1786	0	0	0	0	99.9809	99.9809
1787	0	0	0	0	99.9809	99.9809
1788	0	0	0	0	99.9809	99.9809
1789	0	0	0	0	99.9809	99.9809
1790	0	0	0	0	99.9809	99.9809
1791	0	0	0	0	99.9829	99.9829
1792	0	0	0	0	99.9833	97.8414
1793	0	0	0	0	99.9833	97.793
1794	0	0	0	0	99.9833	97.9571
1795	0	0	0	0	99.9833	97.9414
1796	0	0	0	0	99.984	97.6533
1797	0	0	0	0	99.9848	97.7038
1798	0	0	0	0	99.9854	97.6931
1799	0	0	0	0	99.9861	97.6154
1800	0.9	0	0	0	99.087	94.8089
1801	0.9566	0	0	0	99.0303	95.5314
1802	0.7869	0	0	0	99.2031	72.9953
1803	0.9425	0	0	0	99.0458	95.8808
1804	0.9718	0	0	0	99.0175	88.4024
1805	1.0196	0	0	0	98.9694	94.1454
1806	0.9514	0	0	0	99.0382	94.8772
1807	1.0234	0	0	0	98.9666	90.1928
1808	1.1181	0	0	0	98.8715	94.8798
1809	1.1486	0	0	0	98.841	94.8418
1810	1.1174	0	0	0	98.8728	89.061
1811	1.1293	0	0	0	98.8614	89.8454
1812	1.1794	0	0	0	98.8117	90.0733
1813	1.2622	0	0	0	98.7289	90.6756
1814	1.3307	0	0	0	98.6606	90.407
1815	1.3818	0	0	0	98.6098	89.5021
1816	1.3913	0	0	0	98.601	86.9321
1817	1.4528	0	0	0	98.5398	84.8121
1818	1.5721	0	0	0	98.4205	84.6483
1819	1.5258	0	0	0	98.4668	84.7638
1820	1.5614	0	0	0	98.4314	83.902
1821	1.6099	0	0	0	98.383	83.3523
1822	1.6173	0	0	0	98.3758	83.2717
1823	1.5939	0	0	0	98.3996	82.8884
1824	1.7342	0	0	0	98.2596	83.8665
1825	1.8695	0	0	0	98.1245	81.6247
1826	2.1416	0	0	0	97.8524	81.6441
1827	2.1957	0	0	0	97.7988	79.2385
1828	2.3918	0	0	0	97.6027	78.919
1829	2.704	0	0	0	97.2739	80.3322
1830	2.3434	0	0	0	97.6237	76.147
1831	2.6788	0	0	0	97.2865	77.8023
1832	3.5516	0	0	0	96.4269	77.0632
1833	4.0647	0	0	0	95.91	75.4474
1834	3.8219	0	0	0	96.1739	74.0663
1835	4.7721	0	0	0	95.2076	72.1572
1836	4.5146	0	0	0	95.4644	72.9613
1837	5.0677	0	0	0	94.9043	70.4651
1838	4.6561	0	0	0	95.293	70.1675
1839	4.9439	0	0	0	95.0167	69.6868
1840	4.9385	0	0	0	95.0214	68.0736
